BL_ID,Colony,Burrow,Date,Time,Media,Background,GPS,Visibility,Comment,PhotoID,Prey,Count,Confidence,BillHeight_pix,Headbill_pix,HeadLength_pix,TailLength_pix,Measure_comment
DR1_2024-07-18_05:42:00,DR,DR1,2024-07-18,05:42,Photo,N,Y,Full,,07180015.MOV,Sandlance,1,100,248,,,304,
DR1_2024-07-18_05:42:00,DR,DR1,2024-07-18,05:42,Photo,N,Y,Full,,07180015.MOV,Herring0,5,50,149,,,106,Proofed—adjusted measurements
DR1_2024-07-20_12:50:00,DR,DR1,2024-07-20,12:50,Photo,N,Y,Full,,07200021.MOV,Gadid,2,100,288,,,400,
DR1_2024-07-22_13:17:00,DR,DR1,2024-07-22,13:17,Photo,N,X,Full,,07220568.JPG,UnknownFish,3,NA,580,,,517,
DR1_2024-07-26_13:58:00,DR,DR1,2024-07-26,13:58,Video,N,N,Partial,,07260645.MOV,Unknown,1,NA,,,X,X,
DR1_2024-08-01_06:45:00,DR,DR1,2024-08-01,06:45,Video,N,N,Full,,08010111.MOV,Gadid,4,100,270,,,445,
DR1_2024-08-01_09:25:00,DR,DR1,2024-08-01,09:25,Photo,N,Y,Partial,,08020290.JPG,Unknown,1,NA,,,X,X,
DR1_2024-08-04_07:51:00,DR,DR1,2024-08-04,07:51,Photo,N,X,Partial,,08040307.JPG,UnknownFish,3,NA,,,X,X,Proofed—not measurable
DR1_2024-08-05_12:54:00,DR,DR1,2024-08-05,12:54,Photo,N,X,Partial,,08050115.JPG,Unknown,2,NA,,,X,X,
DR1_2024-08-05_12:54:00,DR,DR1,2024-08-05,12:54,Photo,N,X,Partial,,08050115.JPG,UnknownFish,2,NA,,,X,X,Proofed—not measurable
DR1_2024-08-12_07:33:00,DR,DR1,2024-08-12,07:33,Photo,N,X,Full,,08120269.JPG,Sandlance,1,100,653,,,1007,
DR1_2024-08-12_07:33:00,DR,DR1,2024-08-12,07:33,Photo,N,X,Full,,08120269.JPG,UnknownFish,1,NA,653,,277,,
DR1_2024-08-12_07:33:00,DR,DR1,2024-08-12,07:33,Photo,N,X,Full,,08120269.JPG,UnknownFish,1,NA,653,,247,,
DR1_2024-08-14_08:21:00,DR,DR1,2024-08-14,08:21,Photo,N,X,Partial,,08140238.JPG,Unknown,1,NA,,,X,X,
DR1_2024-08-14_13:54:00,DR,DR1,2024-08-14,13:54,Photo,N,X,Full,,0814063.JPG,UnknownFish,5,NA,575,,,394,
DR16_2024-07-17_09:02:00,DR,DR16,2024-07-17,09:02,Photo,N,N,Full,,07170145.jpg,Gadid,3,100,550,,,654,
DR16_2024-07-17_09:02:00,DR,DR16,2024-07-17,09:02,Photo,N,N,Full,,07170145.jpg,Sandlance,2,50,550,,,825,
DR16_2024-07-17_15:41:00,DR,DR16,2024-07-17,15:41,Video,N,N,Full,,07170930.mov,Sandlance,1,75,131,,,156,Proofed—adjusted tail length
DR16_2024-07-17_15:41:00,DR,DR16,2024-07-17,15:41,Video,N,N,Full,,07170930.mov,Unknown,2,NA,,,X,X,
DR16_2024-07-17_20:01:00,DR,DR16,2024-07-17,20:01,Photo,N,N,Full,,07170230.jpg,Unknown,2,NA,,,X,X,
DR16_2024-07-17_20:01:00,DR,DR16,2024-07-17,20:01,Photo,N,N,Full,,07170230.jpg,UnknownFish,1,NA,,,X,X,
DR16_2024-07-17_20:01:00,DR,DR16,2024-07-17,20:01,Photo,N,N,Full,,07170230.jpg,Sandlance,2,75,312,,,394,
DR16_2024-07-17_20:58:00,DR,DR16,2024-07-17,20:58,Video,N,N,Full,"Adult might have eaten bill load, strange fish",07170381.mov,UnknownFish,1,NA,,,X,X,
DR16_2024-07-18_04:43:00,DR,DR16,2024-07-18,04:43,Video,N,N,Partial,,07180786.mov,Unknown,2,NA,,,X,X,
DR16_2024-07-18_04:43:00,DR,DR16,2024-07-18,04:43,Video,N,N,Partial,,07180786.mov,UnknownFish,1,NA,,,X,X,
DR16_2024-07-18_11:44:00,DR,DR16,2024-07-18,11:44,Photo,N,N,Full,,07180403.jpg,Sandlance,4,100,604,,,694,Proofed—adjusted tail length
DR16_2024-07-18_11:44:00,DR,DR16,2024-07-18,11:44,Photo,N,N,Full,,07180403.jpg,Sandlance,1,100,604,,,896,Proofed—adjusted tail length
DR16_2024-07-18_15:44:00,DR,DR16,2024-07-18,15:44,Video,N,N,Full,Adult leaves and returns at 15:47,07180061.jpg,Sandlance,5,100,581,,,522,
DR16_2024-07-18_19:40:00,DR,DR16,2024-07-18,19:40,Photo,N,N,Full,,07180484.jpg,Gadid,2,50,497,,,771,
DR16_2024-07-19_04:44:00,DR,DR16,2024-07-19,04:44,Photo,N,N,Full,,07190232.jpg,UnknownFish,3,NA,244,,,315,
DR16_2024-07-19_18:17:00,DR,DR16,2024-07-19,18:17,Photo,N,N,Full,,07190010.jpg,Gadid,3,100,562,,,699,
DR16_2024-07-19_18:17:00,DR,DR16,2024-07-19,18:17,Photo,N,N,Full,,07190010.jpg,Gadid,2,100,562,,,524,
DR16_2024-07-20_05:48:00,DR,DR16,2024-07-20,05:48,Photo,N,N,Full,,07200443.jpg,Herring0,9,50,433,,,346,
DR16_2024-07-20_13:03:00,DR,DR16,2024-07-20,13:03,Photo,N,N,Full,,07200736.jpg,Gadid,3,100,669,,,894,
DR16_2024-07-20_14:20:00,DR,DR16,2024-07-20,14:20,Photo,N,N,Full,,07200947.jpg,Gadid,5,75,533,,,515,Proofed—2 UnknownFish added to Gadid count
DR16_2024-07-20_14:20:00,DR,DR16,2024-07-20,14:20,Photo,N,N,Full,,07200947.jpg,Gadid,1,75,533,,,757,
DR16_2024-07-20_14:20:00,DR,DR16,2024-07-20,14:20,Photo,N,N,Full,,07200947.jpg,Unknown,1,NA,,,X,X,
DR16_2024-07-20_20:41:00,DR,DR16,2024-07-20,20:41,Photo,N,N,Partial,,07200439.jpg,UnknownFish,3,NA,X,X,,,
DR16_2024-07-21_06:40:00,DR,DR16,2024-07-21,06:40,Video,N,N,Full,,07210624.mov,Gadid,5,75,197,,58,,
DR16_2024-07-21_10:21:00,DR,DR16,2024-07-21,10:21,Photo,N,N,Full,,07210011.jpg,Gadid,4,100,254,,,386,
DR16_2024-07-21_15:58:00,DR,DR16,2024-07-21,15:58,Photo,N,N,Full,,07210419.jpg,Gadid,3,100,329,,,384,
DR16_2024-07-21_15:58:00,DR,DR16,2024-07-21,15:58,Photo,N,N,Full,,07210419.jpg,Gadid,1,100,329,,,514,
DR16_2024-07-21_15:58:00,DR,DR16,2024-07-21,15:58,Photo,N,N,Full,,07210419.jpg,Sandlance,1,50,329,,,539,
DR16_2024-07-22_06:40:00,DR,DR16,2024-07-22,06:40,Photo,N,N,Full,,07220757.jpg,Unknown,2,NA,,,X,X,
DR16_2024-07-22_06:40:00,DR,DR16,2024-07-22,06:40,Photo,N,N,Full,,07220757.jpg,UnknownFish,2,NA,562,,,496,
DR16_2024-07-22_15:01:00,DR,DR16,2024-07-22,15:01,Photo,N,N,Full,Adults leaves and returns at 15:03,07220850.jpg,Gadid,2,100,314,,,286,
