"BL_ID","Prey","Count","Confidence","BirdMethod","PreyMethod","n_measured","TotalMass","AvMass","AvLength"
"DR16_2024-08-12_19:14:00","Gadid",5,100,"Bill height","Tail",3,8.67140244615901,1.7342804892318,64.8144802919181
"DR16_2024-08-13_07:11:00","Herring0",3,50,NA,NA,0,NA,NA,NA
"DR16_2024-08-13_08:33:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-08-13_08:33:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-08-13_13:10:00","Gadid",6,100,"Bill height","Tail",1,4.1308934119418,0.688482235323634,49.9824061153916
"DR16_2024-08-13_18:13:00","Prowfish",1,100,"Bill height","Tail",1,10.3704327937307,10.3704327937307,104.069478908189
"DR16_2024-08-14_07:54:00","Capelin",2,50,"Bill height","Tail",2,0.863245260677211,0.431622630338606,51.9525012339227
"DR16_2024-08-14_07:54:00","Herring0",3,50,"Bill height","Tail",1,0.483831192266596,0.161277064088865,32.7988206624748
"DR16_2024-08-14_08:35:00","Prowfish",1,50,"Bill height","Head",1,7.10301630345943,7.10301630345943,92.8259884445451
"DR16_2024-08-14_08:35:00","Sandlance",1,50,"Bill height","Tail",1,2.16625184782457,2.16625184782457,89.7688518378174
"DR16_2024-08-14_08:35:00","Squid",1,50,"Bill height","Tail",1,7.0002305610872,7.0002305610872,158.992792921364
"DR16_2024-08-14_08:35:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-08-14_12:33:00","Sandlance",3,75,"Bill height","Tail",1,1.47572937651247,0.491909792170822,58.2669160702667
"DR1_2024-07-16_16:48:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR1_2024-07-18_05:42:00","Herring0",5,50,"Bill height","Tail",1,0.725639248878053,0.145127849775611,31.7511308681421
"DR1_2024-07-18_05:42:00","Sandlance",1,100,"Bill height","Tail",1,0.264206490636044,0.264206490636044,48.6095661846496
"DR1_2024-07-20_12:50:00","Gadid",2,100,"Bill height","Tail",1,2.86025458971527,1.43012729485763,61.6291532690247
"DR1_2024-07-22_13:17:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR1_2024-07-26_13:58:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-01_06:45:00","Gadid",4,100,"Bill height","Tail",1,10.3954190478018,2.59885476195046,73.1332618792426
"DR1_2024-08-01_09:25:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-04_07:51:00","UnknownFish",3,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-05_12:54:00","Unknown",2,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-05_12:54:00","UnknownFish",2,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-12_07:33:00","Sandlance",1,100,"Bill height","Tail",1,0.580624327333868,0.580624327333868,61.1527697100913
"DR1_2024-08-12_07:33:00","UnknownFish",2,NA,"Bill height","Head",2,NA,NA,NA
"DR1_2024-08-14_08:21:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR1_2024-08-14_13:54:00","UnknownFish",5,NA,"Bill height","Tail",1,NA,NA,NA
"DR20LR_2024-07-14_12:20:00","UnknownFish",1,NA,"Bill height","Tail",1,NA,NA,NA
"DR20LR_2024-07-15_07:16:00","Gadid",3,100,"Bill height","Tail",2,1.9257809957598,0.641926998586599,46.0213021019963
"DR20LR_2024-07-15_17:06:00","Gadid",4,100,"Bill height","Tail",1,2.20926264352551,0.552315660881378,46.9239338233506
"DR20LR_2024-07-18_12:42:00","UnknownFish",3,NA,"Bill height","Tail",1,NA,NA,NA
"DR20LR_2024-07-18_15:10:00","UnknownFish",1,NA,NA,NA,0,NA,NA,NA
