"BL_ID","PhotoID","Prey","Confidence","BillHeight_pix","Headbill_pix","HeadLength_pix","TailLength_pix","Measure_comment","TotalLength","Mass"
"EC20_2024-07-27_05:54:00","07270028.JPG","Capelin",75,584,NA,NA,1152,"Tip of tail offscreen—length estimated",84.9622902878251,2.62609752879877
"EC20_2024-07-27_05:54:00","07270028.JPG","UnknownFish",NA,584,NA,NA,415,"",NA,NA
"EC20_2024-07-27_08:18:00","07270121.JPG","Gadid",50,577,NA,NA,918,"",70.5968893322262,2.29764261453619
"EC20_2024-07-27_08:18:00","07270121.JPG","Sandlance",75,577,NA,NA,608,"",41.7856929420905,0.157257944137408
"EC20_2024-07-27_08:18:00","07270121.JPG","Sandlance",75,577,NA,NA,608,"",41.7856929420905,0.157257944137408
"EC20_2024-07-27_08:18:00","07270121.JPG","Sandlance",75,577,NA,NA,608,"",41.7856929420905,0.157257944137408
"EC20_2024-07-27_19:52:00","07270229.JPG","UnknownFish",NA,573,NA,NA,945,"",NA,NA
"EC20_2024-07-27_19:52:00","07270229.JPG","UnknownFish",NA,573,NA,NA,945,"",NA,NA
"EC20_2024-07-28_17:12:00","07280532.JPG","Sandlance",75,606,NA,182,NA,"1 UnknownFish added to Sandlance count",79.7029702970297,1.44060677851821
"EC20_2024-07-28_17:12:00","07280532.JPG","Sandlance",75,606,NA,182,NA,"1 UnknownFish added to Sandlance count",79.7029702970297,1.44060677851821
"EC20_2024-07-28_17:12:00","07280532.JPG","UnknownFish",NA,606,NA,NA,845,"Tip of tail offscreen—length estimated",NA,NA
"EC20_2024-07-28_21:34:00","07280571.JPG","Sandlance",100,588,NA,NA,869,"",58.6060286183439,0.50179919555293
"EC20_2024-07-28_21:34:00","07280571.JPG","Sandlance",100,588,NA,NA,869,"",58.6060286183439,0.50179919555293
"EC20_2024-07-28_21:34:00","07280571.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-29_04:52:00","07290577.JPG","Unknown",NA,275,NA,NA,302,"",NA,NA
"EC20_2024-07-29_04:52:00","07290577.JPG","UnknownFish",NA,275,NA,NA,489,"",NA,NA
"EC20_2024-07-29_06:45:00","07290649.JPG","UnknownFish",NA,637,NA,NA,786,"",NA,NA
"EC20_2024-07-29_06:45:00","07290649.JPG","UnknownFish",NA,637,NA,NA,786,"",NA,NA
"EC20_2024-07-29_06:45:00","07290649.JPG","UnknownFish",NA,637,NA,NA,786,"",NA,NA
"EC20_2024-07-29_06:45:00","07290649.JPG","UnknownFish",NA,637,NA,NA,786,"",NA,NA
"EC20_2024-07-29_08:50:00","07290658.JPG","Greenling",100,634,NA,NA,835,"",56.6554827442435,1.37844627426435
"EC20_2024-07-29_08:50:00","07290658.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-29_17:25:00","07290988.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-29_17:25:00","07290988.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-29_17:25:00","07290988.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-30_04:47:00","07300069.MOV","Capelin",100,136,NA,NA,341,"",107.994602335316,6.48714735064494
"EC20_2024-07-30_06:17:00","07300091.JPG","UnknownFish",NA,563,NA,NA,744,"",NA,NA
"EC20_2024-07-30_06:17:00","07300091.JPG","UnknownFish",NA,563,NA,NA,744,"",NA,NA
"EC20_2024-07-30_06:17:00","07300091.JPG","UnknownFish",NA,563,NA,NA,744,"",NA,NA
"EC20_2024-07-30_06:17:00","07300091.JPG","UnknownFish",NA,563,NA,NA,744,"",NA,NA
"EC20_2024-07-30_09:13:00","07300139.JPG","UnknownFish",NA,581,NA,NA,914,"",NA,NA
"EC20_2024-07-30_09:13:00","07300139.JPG","UnknownFish",NA,581,NA,NA,914,"",NA,NA
"EC20_2024-07-30_09:13:00","07300139.JPG","UnknownFish",NA,581,NA,NA,914,"",NA,NA
"EC20_2024-07-30_09:13:00","07300139.JPG","UnknownFish",NA,581,NA,NA,914,"",NA,NA
"EC20_2024-07-30_10:06:00","07300163.JPG","UnknownFish",NA,587,NA,NA,779,"",NA,NA
"EC20_2024-07-30_10:06:00","07300163.JPG","UnknownFish",NA,587,NA,NA,779,"",NA,NA
"EC20_2024-07-30_10:06:00","07300163.JPG","UnknownFish",NA,587,NA,NA,779,"",NA,NA
"EC20_2024-07-30_10:06:00","07300163.JPG","UnknownFish",NA,587,NA,NA,779,"",NA,NA
"EC20_2024-07-30_10:06:00","07300163.JPG","UnknownFish",NA,587,NA,NA,779,"",NA,NA
"EC20_2024-07-30_11:41:00","07300196.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-30_11:41:00","07300196.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-31_05:59:00","07310292.JPG","Sandlance",50,569,NA,NA,864,"1 UnknownFish added to Sandlance count",60.2145324525786,0.550634500397375
"EC20_2024-07-31_05:59:00","07310292.JPG","Sandlance",50,569,NA,NA,864,"1 UnknownFish added to Sandlance count",60.2145324525786,0.550634500397375
"EC20_2024-07-31_05:59:00","07310292.JPG","UnknownFish",NA,569,NA,258,NA,"",NA,NA
"EC20_2024-07-31_05:59:00","07310292.JPG","UnknownFish",NA,569,NA,258,NA,"",NA,NA
"EC20_2024-08-01_06:54:00","08010169.JPG","UnknownFish",NA,600,NA,245,NA,"",NA,NA
"EC20_2024-08-01_06:54:00","08010169.JPG","UnknownFish",NA,600,NA,245,NA,"",NA,NA
"EC20_2024-08-01_06:54:00","08010169.JPG","UnknownFish",NA,600,NA,245,NA,"",NA,NA
"EC20_2024-08-01_06:54:00","08010169.JPG","UnknownFish",NA,600,NA,245,NA,"",NA,NA
"EC20_2024-08-01_06:54:00","08010169.JPG","UnknownFish",NA,600,NA,245,NA,"",NA,NA
"EC20_2024-08-02_05:24:00","08020892.JPG","Capelin",100,329,NA,NA,805,"",105.386883417005,5.91607092872459
"EC20_2024-08-02_05:24:00","08020892.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-02_05:42:00","08020901.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-02_07:59:00","08020931.JPG","Capelin",100,623,NA,215,NA,"",59.8296458214024,0.700007968835706
"EC20_2024-08-02_07:59:00","08020931.JPG","Capelin",100,623,NA,215,NA,"",59.8296458214024,0.700007968835706
"EC20_2024-08-02_07:59:00","08020931.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-02_07:59:00","08020931.JPG","UnknownFish",NA,623,NA,243,NA,"",NA,NA
"EC20_2024-08-03_14:22:00","08030292.JPG","UnknownFish",NA,569,NA,161,NA,"",NA,NA
"EC20_2024-08-03_14:22:00","08030292.JPG","UnknownFish",NA,569,NA,161,NA,"",NA,NA
"EC20_2024-08-03_14:22:00","08030292.JPG","UnknownFish",NA,569,NA,161,NA,"",NA,NA
"EC20_2024-08-03_15:16:00","08030295.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-08-03_16:46:00","08030304.JPG","UnknownFish",NA,559,NA,NA,591,"",NA,NA
"EC20_2024-08-03_16:46:00","08030304.JPG","UnknownFish",NA,559,NA,NA,591,"",NA,NA
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
"EC20_2024-08-03_19:37:00","08030367.JPG","Gadid",100,NA,1552,264,1018,"Facing camera",72.6282868064404,2.53676417566883
